VELOCIDADE_REAL	PERCENTUAL_ACIONAMENTO	RPM	TEMPERATURA
0	0	802	11.78
0	0	802	11.78
0	0	802	11.61
0	0	802	11.97
0	0	802	11.83
0	0	802	11.84
0	0	802	11.71
0	0	802	11.60
0	0	802	11.75
0	0	802	11.78
0	0	802	11.57
0	0	802	11.57
0	0	802	11.68
0	0	802	11.69
0	0	817	11.72
0	0	817	11.81
0	0	802	11.73
0	0	802	11.94
0	0	802	11.79
0	0	802	11.74
0	0	802	11.69
0	0	802	12.01
0	0	802	11.64
0	0	802	11.54
0	0	802	11.59
0	0	802	11.76
0	0	802	11.69
0	0	802	11.75
0	0	817	11.55
0	0	817	11.39
0	0	802	11.81
0	0	802	11.64
0	0	802	11.61
0	0	802	11.67
0	0	802	11.52
0	0	802	11.53
0	0	802	11.63
0	0	802	11.69
0	0	802	11.74
0	0	802	11.46
0	0	802	11.86
0	0	802	11.74
0	0	802	11.57
0	0	802	11.52
0	0	802	11.78
0	0	802	11.59
0	0	802	11.66
0	0	802	11.66
0	0	817	11.71
0	0	817	11.85
0	0	802	11.53
0	0	802	11.51
0	0	802	11.75
0	0	802	11.77
0	0	802	11.82
0	0	802	11.53
0	0	802	11.73
0	0	802	11.89
0	0	802	11.64
0	0	802	11.98
0	0	802	11.87
0	0	802	12.01
0	0	802	12.09
0	0	802	11.88
0	0	802	11.79
0	0	802	12.04
0	0	817	12.05
0	0	817	11.97
0	0	802	11.92
0	0	802	12.10
0	0	802	11.90
0	0	802	11.94
0	0	802	12.06
0	0	802	12.08
0	0	802	11.66
0	0	802	12.19
0	0	802	12.17
0	0	802	12.06
0	0	802	11.97
0	0	802	11.95
0	0	802	12.03
0	0	802	12.09
0	0	802	11.98
0	0	802	12.06
0	0	802	12.19
0	0	802	12.04
0	0	818	12.01
0	0	818	12.07
0	0	802	12.14
0	0	802	12.01
0	0	802	12.07
0	0	802	12.20
0	0	802	12.32
0	0	802	11.87
0	0	802	12.11
0	0	802	12.14
0	0	802	12.20
0	0	802	12.10
0	0	802	12.12
0	0	802	12.16
0	0	802	12.32
0	0	802	12.23
0	0	802	12.13
0	0	802	12.02
0	0	802	12.03
0	0	802	12.27
0	0	802	12.32
0	0	802	12.07
0	0	802	12.23
0	0	802	12.16
0	0	817	12.09
0	0	817	12.27
0	0	802	12.09
0	0	802	12.02
0	0	138	12.00
0	0	138	11.99
0	0	663	12.07
0	0	663	12.02
0	0	802	12.08
0	0	802	12.07
0	0	802	12.22
0	0	802	12.17
0	0	802	12.21
0	0	802	12.02
0	0	802	12.33
0	0	802	12.06
0	0	802	12.10
0	0	802	12.32
0	0	802	12.11
0	0	802	12.33
0	0	802	12.33
0	0	802	12.44
0	0	817	12.31
0	0	817	12.12
0	0	802	12.31
0	0	802	12.25
0	0	802	12.42
0	0	802	12.43
0	0	802	12.27
0	0	802	12.22
0	0	802	12.33
0	0	802	12.39
0	0	802	12.31
0	0	802	12.31
0	0	802	12.29
0	0	802	12.34
0	0	802	12.49
0	0	802	12.43
0	0	817	12.18
0	0	817	12.41
0	0	787	12.29
0	0	787	12.34
0	0	802	12.42
0	0	802	12.38
0	0	802	12.47
0	0	802	12.30
0	0	802	12.46
0	0	802	12.34
0	0	802	12.34
0	0	802	12.43
0	0	802	12.52
0	0	802	12.34
0	0	802	12.35
0	0	802	12.50
0	0	802	12.52
0	0	802	12.46
0	0	802	12.49
0	0	802	12.41
0	0	802	12.38
0	0	802	12.32
0	0	802	12.46
0	0	802	12.45
0	0	817	12.45
0	0	817	12.34
0	0	802	12.64
0	0	802	12.39
0	0	802	12.55
0	0	802	12.40
0	0	802	12.28
0	0	802	12.46
